Ananas;2,6;0;2,3;8,3
Apfel;5,7;0,51;2;2,5
Aprikose / Marille;0,86;0,8;1,7;5,1
Artischocken;1,5;0;0,53;0,61
Aubergine / Melanzani;1,1;0;1,1;0,13
Avocado;0,06;0;0,02;0,02
Banane;3,6;0;3,8;11
Birne;6,7;2,2;1,7;1,8
Blumenkohl;0,91;0;1;0,19
Bohen dick;2,2;0;1,7;1,8
Bohnen grün;0,56;0;0,43;0,2
Brokkoli;0,9;0;1;0,48
Brombeere;1,3;0;1,3;0,07
Champignons;0,03;0;0,07;0,02
Chicorée;0,73;0;1,4;0,19
Chinakohl;0,43;0;0,42;0,3
Dattel;31,3;0;33,6;0,07
Eisbergsalat;0,63;0;0,63;0,3
Feldsalat;0,18;0;0,27;0,25
Fenchel;1,1;0;1,3;0,37
Gemüsepaprika grün;1,2;0;1,5;0,12
Gemüsepaprika rot;3,7;0;2,3;0,06
Grapefruit;2,5;0;2,9;3,5
Grühnkohl;0,73;0;0,61;0,67
Gurke;0,88;0;0,79;0,09
Heidelbeere;4,1;0,01;3;0,29
Himbeere;2;0,01;1,7;1
Honig;37,5;0;33,8;2,3
Honigmelone;0,58;0;0,68;4
Johannisbeeren;3,8;0;3;0,43
Kartoffeln;0,14;0;0,21;0,28
Kichererbsen;0,43;0;0,64;0,32
Kiwi;4,4;0;4,7;1,3
Kohlrabi;1,1;0;1,3;1,1
Kopfsalat;0,53;0;0,43;0,1
Kürbis;1,6;0;1,3;0,73
Limette;0,8;0;0,8;0,3
Mandarine;1,3;0;1,7;7,1
Mangold;0,64;0;1,5;0,29
Mohrrübe;1,3;0;1,6;1,7
Nektarine;1,8;0,09;1,8;8,7
Orange;2,9;0;2,5;3,8
Papaya;0,34;0;1;1
Pfirsich;1,2;0,89;1;5,7
Pflaumen;2;3,4;1,4;3,4
Porree;1,2;0;0,9;0,53
Radicchio;0,6;0;0,6;0,29
Radieschen;0,64;0;1,4;0,11
Rosenkohl;0,89;0;1,4;0,11
Rosinen;32,3;0;0,99;1,1
Rotkohl;1,8;0;1,3;0,35
Sauerkirsche;4,8;0;5,8;0,46
Sellerie;0,61;0;0,61;0,57
Sojasprossen;1,1;0;1,1;2,4
Spargel;1,2;0;0,57;0,31
Spinat;0,11;0;0,14;0,22
Stachelbeere;4;0;3,6;0,86
Süßkirsche;6,2;0;6,9;0,2
Tomaten;1,3;0;1,1;0,1
Wassermelone;3,9;0;2;2,4
Weintrauben;7,6;0,2;7,3;0,44
Weißkohl;1,9;0;1,9;0,33
Wirsingkohl;0,86;0;0,86;0,6
Zucchini;0,7;0;0,6;0,33
Zwiebeln;1,1;0;1,7;0,98